ID,Scrip,Datetime,Price,Volume,Date,Open_daily,LDCP
2429,ABOT,2023-01-02 18:00:00,460.53,7500,2023-01-02,456.14,463.31
2430,ABOT,2023-01-03 18:00:00,450.2,10400,2023-01-03,455.0,460.53
2431,ABOT,2023-01-04 18:00:00,450.0,3350,2023-01-04,450.0,450.2
2432,ABOT,2023-01-05 18:00:00,444.69,11200,2023-01-05,445.0,450.0
2433,ABOT,2023-01-06 18:00:00,438.0,8900,2023-01-06,444.0,444.69
2434,ABOT,2023-01-09 18:00:00,433.48,5500,2023-01-09,438.0,438.0
2435,ABOT,2023-01-10 18:00:00,431.87,4500,2023-01-10,435.0,433.48
2436,ABOT,2023-01-11 18:00:00,412.67,72750,2023-01-11,428.0,431.87
2437,ABOT,2023-01-12 18:00:00,400.93,9250,2023-01-12,411.0,412.67
2438,ABOT,2023-01-13 18:00:00,397.33,3900,2023-01-13,399.5,400.93
2439,ABOT,2023-01-16 18:00:00,389.5,3900,2023-01-16,403.0,397.33
2440,ABOT,2023-01-17 18:00:00,377.51,3650,2023-01-17,389.5,389.5
2441,ABOT,2023-01-18 18:00:00,370.03,12350,2023-01-18,375.0,377.51
2442,ABOT,2023-01-19 18:00:00,369.5,21450,2023-01-19,370.03,370.03
2443,ABOT,2023-01-20 18:00:00,362.74,1800,2023-01-20,368.0,369.5
2444,ABOT,2023-01-23 18:00:00,369.88,6600,2023-01-23,363.0,362.74
2445,ABOT,2023-01-24 18:00:00,366.97,4100,2023-01-24,375.0,369.88
2446,ABOT,2023-01-25 18:00:00,360.5,56000,2023-01-25,360.01,366.97
2447,ABOT,2023-01-26 18:00:00,355.38,140150,2023-01-26,360.5,360.5
2448,ABOT,2023-01-27 18:00:00,348.44,8000,2023-01-27,356.0,355.38
2449,ABOT,2023-01-30 18:00:00,346.0,20650,2023-01-30,352.99,348.44
2450,ABOT,2023-01-31 18:00:00,353.88,2650,2023-01-31,350.0,346.0
2451,ABOT,2023-02-01 18:00:00,374.91,24550,2023-02-01,354.0,353.88
2452,ABOT,2023-02-02 18:00:00,380.25,10800,2023-02-02,370.0,374.91
2453,ABOT,2023-02-03 18:00:00,386.75,6600,2023-02-03,380.24,380.25
2454,ABOT,2023-02-06 18:00:00,389.37,5950,2023-02-06,395.0,386.75
2455,ABOT,2023-02-07 18:00:00,398.2,8300,2023-02-07,394.99,389.37
2456,ABOT,2023-02-08 18:00:00,423.36,14750,2023-02-08,400.0,398.2
